run_id,solver_hash,model,bc_phason,Omega,k,V,r,status,delta_pen
20260906-125819,7cfda8cdc7345f93,A,clamped,2.5118864315e-03,1.360343947051e-02,1.846508331187e-01,8.283339e-05,resolved_min,9.079725e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,2.8183829313e-03,9.803760173710e-03,2.874797915622e-01,1.341074e-04,resolved_min,2.511759e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,3.1622776602e-03,1.372526391507e-02,2.303983136307e-01,1.264094e-04,resolved_min,1.070039e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,3.5481338923e-03,1.921536898810e-02,1.846508331187e-01,1.170515e-04,resolved_min,6.427953e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,3.9810717055e-03,1.384817932384e-02,2.874797915622e-01,1.895304e-04,resolved_min,1.778189e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,4.4668359215e-03,1.938745058989e-02,2.303983136307e-01,1.786379e-04,resolved_min,7.575295e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,5.0118723363e-03,2.714243012947e-02,1.846508331187e-01,1.654100e-04,resolved_min,4.550642e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,5.6234132519e-03,1.956107321960e-02,2.874797915622e-01,2.678676e-04,resolved_min,1.258861e+02
20260906-125819,7cfda8cdc7345f93,A,clamped,6.3095734448e-03,2.738550185274e-02,2.303983136307e-01,2.524501e-04,resolved_min,5.362898e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,7.0794578438e-03,3.833970161017e-02,1.846508331187e-01,2.337484e-04,resolved_min,3.221608e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,7.9432823472e-03,2.763075033580e-02,2.874797915622e-01,3.785847e-04,resolved_min,8.912057e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,8.9125093813e-03,3.868304954534e-02,2.303983136307e-01,3.567569e-04,resolved_min,3.796641e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.0000000000e-02,5.415626797400e-02,1.846508331187e-01,3.303137e-04,resolved_min,2.280724e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.1220184543e-02,3.902947223541e-02,2.874797915622e-01,5.350485e-04,resolved_min,6.309253e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.2589254118e-02,4.379178810980e-02,2.874797915622e-01,6.004334e-04,resolved_min,5.623128e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.4125375446e-02,4.913519440607e-02,2.874797915622e-01,6.738038e-04,resolved_min,5.011618e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.5848931925e-02,5.513059487933e-02,2.874797915622e-01,7.561339e-04,resolved_min,4.466609e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.7782794100e-02,6.185754485125e-02,2.874797915622e-01,8.485166e-04,resolved_min,3.980869e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,1.9952623150e-02,6.940530686091e-02,2.874797915622e-01,9.521782e-04,resolved_min,3.547954e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,2.2387211386e-02,7.787403512444e-02,2.874797915622e-01,1.068494e-03,resolved_min,3.162117e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,2.5118864315e-02,8.737610452058e-02,2.874797915622e-01,1.199009e-03,resolved_min,2.818240e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,2.8183829313e-02,9.803760173710e-02,2.874797915622e-01,1.345453e-03,resolved_min,2.511759e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,3.1622776602e-02,1.099999983645e-01,2.874797915622e-01,1.509770e-03,resolved_min,2.238607e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,3.5481338923e-02,1.234220281382e-01,2.874797915622e-01,1.694139e-03,resolved_min,1.995161e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,3.9810717055e-02,1.384817932384e-01,2.874797915622e-01,1.901006e-03,resolved_min,1.778189e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,4.4668359215e-02,1.553791275984e-01,2.874797915622e-01,2.133115e-03,resolved_min,1.584813e+01
