run_id,solver_hash,model,bc_phason,bc_thermal,Omega,k,V,r,status,n_ad,n_grazing,condB,jump,root_flags,max_root_res,k_comp,r_comp,P_w,delta_pen,delta_pen_weighted,rel_xtol,n_scan
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.0000000000e+01,3.218261815012e+01,3.107267393024e-01,2.594525e-07,resolved_min,5,0,3.854270e+06,0,0,3.309e-17,3.218261815012e+01,2.594525e-07,9.909434e-01,1.989387e-01,1.319724e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e+01,3.610949236591e+01,3.107267316118e-01,2.616235e-07,resolved_min,5,0,3.822286e+06,0,0,1.872e-17,3.610949236591e+01,2.616235e-07,9.909431e-01,1.773041e-01,1.176113e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e+01,4.051551783320e+01,3.107267237647e-01,2.626639e-07,resolved_min,5,0,3.807147e+06,0,0,3.281e-17,4.051551783320e+01,2.626639e-07,9.909427e-01,1.580223e-01,1.048122e-01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e+01,4.545915985858e+01,3.107267158075e-01,2.624580e-07,resolved_min,5,0,3.810133e+06,0,0,9.912e-17,4.545915985858e+01,2.624580e-07,9.909423e-01,1.408374e-01,9.340509e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e+01,5.100601759351e+01,3.107267077959e-01,2.609044e-07,resolved_min,5,0,3.832821e+06,0,0,8.353e-17,5.100601759351e+01,2.609044e-07,9.909419e-01,1.255213e-01,8.323866e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e+01,5.722969449411e+01,3.107266997943e-01,2.579230e-07,resolved_min,5,0,3.877127e+06,0,0,7.883e-17,5.722969449411e+01,2.579230e-07,9.909415e-01,1.118709e-01,7.417798e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.9952623150e+01,6.421277499294e+01,3.107266918753e-01,2.534632e-07,resolved_min,5,0,3.945345e+06,0,0,6.722e-17,6.421277499263e+01,2.534632e-07,9.909411e-01,9.970492e-02,6.610277e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.2387211386e+01,7.204792034276e+01,3.107266841177e-01,2.475128e-07,resolved_min,5,0,4.040195e+06,0,0,1.097e-16,7.204792034212e+01,2.475128e-07,9.909407e-01,8.886201e-02,5.890587e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.5118864315e+01,8.083909817348e+01,3.107266766038e-01,2.401043e-07,resolved_min,5,0,4.164857e+06,0,0,7.981e-17,8.083909817357e+01,2.401043e-07,9.909404e-01,7.919827e-02,5.249174e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.8183829313e+01,9.070296207821e+01,3.107266694151e-01,2.313202e-07,resolved_min,5,0,4.323013e+06,0,0,2.012e-16,9.070296207850e+01,2.313202e-07,9.909400e-01,7.058547e-02,4.677527e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.1622776602e+01,1.017703995346e+02,3.107266626279e-01,2.212941e-07,resolved_min,5,0,4.518873e+06,0,0,1.443e-16,1.017703995352e+02,2.212941e-07,9.909397e-01,6.290931e-02,4.168057e-02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.5481338923e+01,1.141882687015e+02,3.107266563092e-01,2.102075e-07,resolved_min,5,0,4.757205e+06,0,0,2.317e-16,1.141882687028e+02,2.102075e-07,9.909394e-01,5.606793e-02,3.714002e-02,1e-15,160
