Omega,Dw,model,V,Delta_BC_at_Dw
1.4677992676e+01,1.000000e+00,C,4.673248263151e-01,4.905885e-03
1.7782794100e+01,1.000000e+00,A,3.107266997943e-01,4.935061e-03
1.7782794100e+01,1.000000e+00,B,4.650220079305e-01,4.935061e-03
1.7782794100e+01,1.000000e+00,C,4.673283017706e-01,4.935061e-03
2.1544346900e+01,1.000000e+00,A,3.107266866806e-01,4.955089e-03
2.1544346900e+01,1.000000e+00,B,4.650143662347e-01,4.955089e-03
2.1544346900e+01,1.000000e+00,C,4.673300280054e-01,4.955089e-03
2.6101572157e+01,1.000000e+00,A,3.107266741670e-01,4.968785e-03
2.6101572157e+01,1.000000e+00,B,4.650084653998e-01,4.968785e-03
2.6101572157e+01,1.000000e+00,C,4.673305302466e-01,4.968785e-03
3.1622776602e+01,1.000000e+00,A,3.107266626260e-01,4.978126e-03
3.1622776602e+01,1.000000e+00,B,4.650037573087e-01,4.978126e-03
3.1622776602e+01,1.000000e+00,C,4.673301858556e-01,4.978126e-03
3.8311868496e+01,1.000000e+00,A,3.107266523794e-01,4.984483e-03
3.8311868496e+01,1.000000e+00,B,4.649998747351e-01,4.984483e-03
3.8311868496e+01,1.000000e+00,C,4.673292697116e-01,4.984483e-03
4.6415888336e+01,1.000000e+00,A,3.107266436432e-01,4.988800e-03
4.6415888336e+01,1.000000e+00,B,4.649965814011e-01,4.988800e-03
4.6415888336e+01,1.000000e+00,C,4.673279871567e-01,4.988800e-03
5.6234132519e+01,1.000000e+00,A,3.107266364856e-01,4.991720e-03
5.6234132519e+01,1.000000e+00,B,4.649937343868e-01,4.991720e-03
5.6234132519e+01,1.000000e+00,C,4.673264975630e-01,4.991720e-03
6.8129206906e+01,1.000000e+00,A,3.107266308454e-01,4.993685e-03
6.8129206906e+01,1.000000e+00,B,4.649912551095e-01,4.993685e-03
6.8129206906e+01,1.000000e+00,C,4.673249286716e-01,4.993685e-03
8.2540418527e+01,1.000000e+00,A,3.107266265475e-01,4.994995e-03
8.2540418527e+01,1.000000e+00,B,4.649891060409e-01,4.994995e-03
8.2540418527e+01,1.000000e+00,C,4.673233840683e-01,4.994995e-03
1.0000000000e+02,1.000000e+00,A,3.107266233642e-01,4.995857e-03
1.0000000000e+02,1.000000e+00,B,4.649872714200e-01,4.995857e-03
1.0000000000e+02,1.000000e+00,C,4.673219450353e-01,4.995857e-03
1.0000000000e-03,1.000000e+02,A,3.107268903703e-01,4.572151e-10
1.0000000000e-03,1.000000e+02,B,4.663012300472e-01,4.572151e-10
1.0000000000e-03,1.000000e+02,C,4.663012298340e-01,4.572151e-10
1.2115276586e-03,1.000000e+02,A,3.107268905541e-01,1.715567e-12
1.2115276586e-03,1.000000e+02,B,4.663012133015e-01,1.715567e-12
1.2115276586e-03,1.000000e+02,C,4.663012133007e-01,1.715567e-12
1.4677992676e-03,1.000000e+02,A,3.107268903765e-01,6.433230e-13
1.4677992676e-03,1.000000e+02,B,4.663011948745e-01,6.433230e-13
1.4677992676e-03,1.000000e+02,C,4.663011948742e-01,6.433230e-13
1.7782794100e-03,1.000000e+02,A,3.107268901810e-01,7.312870e-11
1.7782794100e-03,1.000000e+02,B,4.663011745476e-01,7.312870e-11
1.7782794100e-03,1.000000e+02,C,4.663011745817e-01,7.312870e-11
2.1544346900e-03,1.000000e+02,A,3.107268899658e-01,2.247475e-10
2.1544346900e-03,1.000000e+02,B,4.663011523814e-01,2.247475e-10
2.1544346900e-03,1.000000e+02,C,4.663011522766e-01,2.247475e-10
