# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
1.5848931925e-01,3.107268721343e-01,1.894205e-08,resolved_min,4.662993038194e-01,2.982236e-08,resolved_min,4.662993038352e-01,2.982236e-08,resolved_min,3.107257233094e-01,1.111618e-04,resolved_min,3.107268720346e-01,1.905318e-08,resolved_min,4.662993043487e-01,2.982236e-08,resolved_min
1.7782794100e-01,3.107268709305e-01,2.240348e-08,resolved_min,4.662991805288e-01,3.337378e-08,resolved_min,4.662991801072e-01,3.337379e-08,resolved_min,3.107259582379e-01,1.110559e-04,resolved_min,3.107268708411e-01,2.251450e-08,resolved_min,4.662991805268e-01,3.337379e-08,resolved_min
1.9952623150e-01,3.107268696560e-01,2.649319e-08,resolved_min,4.662990493788e-01,3.734219e-08,resolved_min,4.662990490717e-01,3.734219e-08,resolved_min,3.107261445262e-01,1.109593e-04,resolved_min,3.107268695766e-01,2.660410e-08,resolved_min,4.662990493843e-01,3.734219e-08,resolved_min
2.2387211386e-01,3.107268683067e-01,3.132339e-08,resolved_min,4.662989101405e-01,4.177541e-08,resolved_min,4.662989101468e-01,4.177541e-08,resolved_min,3.107262922102e-01,1.108703e-04,resolved_min,3.107268682367e-01,3.143421e-08,resolved_min,4.662989102166e-01,4.177540e-08,resolved_min
2.5118864315e-01,3.107268668780e-01,3.702565e-08,resolved_min,4.662987630859e-01,4.672652e-08,resolved_min,4.662987630715e-01,4.672652e-08,resolved_min,3.107264091805e-01,1.107871e-04,resolved_min,3.107268668172e-01,3.713638e-08,resolved_min,4.662987632884e-01,4.672652e-08,resolved_min
2.8183829313e-01,3.107268653654e-01,4.375382e-08,resolved_min,4.662986074875e-01,5.225445e-08,resolved_min,4.662986076645e-01,5.225445e-08,resolved_min,3.107265017351e-01,1.107067e-04,resolved_min,3.107268653131e-01,4.386447e-08,resolved_min,4.662986076651e-01,5.225445e-08,resolved_min
3.1622776602e-01,3.107268637640e-01,5.168686e-08,resolved_min,4.662984429700e-01,5.842449e-08,resolved_min,4.662984427306e-01,5.842449e-08,resolved_min,3.107265748521e-01,1.106246e-04,resolved_min,3.107268637404e-01,5.179741e-08,resolved_min,4.662984427338e-01,5.842449e-08,resolved_min
3.5481338923e-01,3.107268620687e-01,6.103002e-08,resolved_min,4.662982680880e-01,6.530897e-08,resolved_min,4.662982685009e-01,6.530897e-08,resolved_min,3.107266324900e-01,1.105302e-04,resolved_min,3.107268620332e-01,6.114047e-08,resolved_min,4.662982680780e-01,6.530897e-08,resolved_min
3.9810717055e-01,3.107268602743e-01,7.200607e-08,resolved_min,4.662980831992e-01,7.298792e-08,resolved_min,4.662980831554e-01,7.298792e-08,resolved_min,3.107266778224e-01,1.103919e-04,resolved_min,3.107268602539e-01,7.211638e-08,resolved_min,4.662980831613e-01,7.298792e-08,resolved_min
4.4668359215e-01,3.107268583777e-01,8.475334e-08,resolved_min,4.662978873571e-01,8.154984e-08,resolved_min,4.662978873600e-01,8.154984e-08,resolved_min,3.107267131236e-01,1.100354e-04,resolved_min,3.107268583360e-01,8.486329e-08,resolved_min,4.662978873601e-01,8.154984e-08,resolved_min
