chi,eta,runtime_s,worst_cond_P,pass_alpha_mean,stop_alpha_peak,n_gaps
0.6,0.62,0.208,9.38943,1.6431543772202344e-05,4.7471364842311745,1
0.7,0.62,0.191,9.38943,1.857649743943186e-05,5.508273666433474,1
0.8,0.62,0.197,9.38943,0.000395254835302429,5.0583955272143895,2
0.9,0.62,0.189,9.38943,2.031392558690285e-05,7.969455866091111,1
1.0,0.62,0.184,9.38943,1.993907836623288e-05,4.773675078456121,2
0.0,0.68,0.205,9.38943,0.005192854731565052,3.707816208041029,0
0.1,0.68,0.209,9.38943,0.0003047178283429502,3.5620503451479024,0
0.2,0.68,0.209,9.38943,0.0006614749173467845,3.1686944255336416,1
0.3,0.68,0.215,9.38943,0.00020602620752135069,4.395863834722824,1
0.4,0.68,0.22,9.38943,1.2408051360863567e-05,3.5055609361219435,1
0.5,0.68,0.217,9.38943,0.00017453633490686842,3.9779421224995657,1
0.6,0.68,0.224,9.38943,5.756965290298261e-05,4.865086343948991,1
0.7,0.68,0.22,9.38943,1.5042227648812791e-05,6.786897400651896,1
0.8,0.68,0.263,9.38943,1.1176292719562152e-05,5.640940752109802,1
0.9,0.68,0.218,9.38943,0.0005050930989848527,5.959614912486521,2
1.0,0.68,0.223,9.38943,2.062504325670031e-05,4.647859353686488,2
0.0,0.74,0.247,9.38943,0.0040341611821046175,4.122187649612984,2
0.1,0.74,0.257,9.38943,0.00024072556320674164,4.298623138682593,0
0.2,0.74,0.237,9.38943,0.0006011340209804142,5.592141735746544,0
0.3,0.74,0.223,9.38943,0.0002613710106790717,3.4728831378674396,1
0.4,0.74,0.23,9.38943,0.0002555536817799372,3.429404485934868,1
0.5,0.74,0.256,9.38943,0.0003183600702132824,3.6764835985653024,1
0.6,0.74,0.189,9.38943,0.0003955201930404206,5.0520467281293335,1
0.7,0.74,0.319,9.38943,1.6238147544538093e-05,4.838871647385185,1
0.8,0.74,0.236,9.38943,0.00022049143477500147,4.802600898040813,1
0.9,0.74,0.245,9.38943,0.00014628918483112303,6.544915679460559,1
1.0,0.74,0.233,9.38943,1.92657563721223e-05,4.47816678698533,2
0.0,0.8,0.229,9.38943,0.005281115786794185,3.721134247295796,1
0.1,0.8,0.234,9.38943,0.00013181901827897884,5.17842078784393,0
0.2,0.8,0.228,9.38943,0.0006695080608131748,5.036990379260454,0
0.3,0.8,0.227,9.38943,0.0006560112417604058,3.73681621638288,0
0.4,0.8,0.233,9.38943,0.00025315484400829105,3.5353514542301756,1
0.5,0.8,0.23,9.38943,7.644082127404655e-05,3.8813643979255645,1
0.6,0.8,0.231,9.38943,0.0002595343972626302,3.50869915667223,1
0.7,0.8,0.237,9.38943,0.0004930009448628457,4.8016494465752,1
0.8,0.8,0.241,9.38943,0.0004395497754711185,5.324457398517899,2
0.9,0.8,0.23,9.38943,4.66331435246698e-05,7.902318322586412,3
1.0,0.8,0.21,9.38943,1.2707450658206303e-05,4.252409427076205,2
