solver,t_hat,abs_error
41,0.2533613445378151,1.8715345540087993e-07
41,0.2579831932773109,1.670310567646335e-07
41,0.2626050420168067,1.4833653594437193e-07
41,0.26722689075630246,1.3100931894982706e-07
41,0.2718487394957983,1.1497050178654957e-07
41,0.2764705882352941,1.0013900442296189e-07
41,0.28109243697478986,8.643388205265081e-08
41,0.2857142857142857,7.377875022129912e-08
41,0.2903361344537815,6.21093133600378e-08
41,0.29495798319327726,5.135552827539938e-08
41,0.29957983193277304,4.14541612158156e-08
41,0.3042016806722688,3.23490558794556e-08
41,0.30882352941176466,2.398945064918747e-08
41,0.31344537815126045,1.6326713315640527e-08
41,0.3180672268907562,9.306796445619181e-09
41,0.32268907563025206,2.885978790279875e-09
41,0.32731092436974785,2.972499802856543e-09
41,0.33193277310924363,8.307510458328249e-09
41,0.3365546218487394,1.3152404277794982e-08
41,0.34117647058823525,1.7540765285707048e-08
41,0.34579831932773103,2.1513203663948398e-08
41,0.3504201680672268,2.5084936240316845e-08
41,0.35504201680672265,2.830482559546068e-08
41,0.35966386554621843,3.116965530225526e-08
41,0.3642857142857142,3.373579427024067e-08
41,0.36890756302521,3.601417564269651e-08
41,0.37352941176470583,3.80070904758564e-08
41,0.3781512605042016,3.974334872414245e-08
41,0.3827731092436974,4.1268074292167524e-08
41,0.38739495798319323,4.25571138339417e-08
41,0.392016806722689,4.3654905691360126e-08
41,0.3966386554621848,4.456418834053535e-08
41,0.4012605042016806,4.533085629188163e-08
41,0.4058823529411764,4.591255054020662e-08
41,0.4105042016806722,4.635912132056133e-08
41,0.415126050420168,4.6689192402139225e-08
41,0.41974789915966376,4.689734078955423e-08
41,0.4243697478991596,4.6958907430228704e-08
41,0.4289915966386554,4.6947097987915766e-08
41,0.43361344537815116,4.684142596123122e-08
41,0.438235294117647,4.6642926744167836e-08
41,0.4428571428571428,4.639600181921635e-08
41,0.44747899159663856,4.603929582114388e-08
41,0.45210084033613435,4.565297906478163e-08
41,0.4567226890756302,4.5189725851214304e-08
41,0.46134453781512597,4.469074344026849e-08
41,0.46596638655462175,4.4141214462390634e-08
41,0.4705882352941176,4.355300531433484e-08
41,0.47521008403361337,4.2896352471123135e-08
41,0.47983193277310915,4.226125605122446e-08
41,0.48445378151260493,4.1563368303632854e-08
41,0.48907563025210077,4.089099869919535e-08
41,0.49369747899159655,4.014951837760874e-08
41,0.49831932773109233,3.938254855662207e-08
41,0.5029411764705882,3.869045239846072e-08
