figure,t_hat,T_published,T_phase5
fig3,0.9435301710229106,0.9994764588635097,0.9997794056101147
fig3,0.9448209099709584,0.9994745479300293,0.9997821979759336
fig3,0.9461116489190061,0.9994755833035662,0.9997849549500893
fig3,0.9474023878670539,0.9994743744643059,0.9997876770416975
fig3,0.9486931268151017,0.9994767985051385,0.9997903647017059
fig3,0.9499838657631494,0.9994684717781963,0.9997930183129259
fig3,0.9512746047111972,0.999474030243261,0.9997956383606734
fig3,0.952565343659245,0.9994743744643059,0.9997982252480087
fig3,0.9538560826072927,0.999474030243261,0.9998007793907016
fig3,0.9551468215553405,0.9994757604069344,0.9998033011363867
fig3,0.9564375605033882,0.9994722886215498,0.9998057910153494
fig3,0.9577282994514359,0.9994809783245917,0.9998082493527003
fig3,0.9590190383994837,1.003369753473938,0.9998106765942085
fig3,0.9603097773475314,1.0033790752092098,0.9998130731294389
fig3,0.9616005162955792,1.0033790752092098,0.9998154393057822
fig3,0.962891255243627,1.0033790752092098,0.9998177754887497
fig3,0.9641819941916747,1.0033790752092098,0.9998200821261882
fig3,0.9654727331397225,1.0033790752092098,0.999822359622748
fig3,0.9667634720877702,1.0033790752092098,0.9998246082166504
fig3,0.968054211035818,1.0033790752092098,0.9998268283780133
fig3,0.9693449499838658,1.0033790752092098,0.9998290204730933
fig3,0.9706356889319135,1.0033790752092098,0.9998311847648159
fig3,0.9719264278799613,1.0033790752092098,0.9998333216671432
fig3,0.9732171668280091,1.0033790752092098,0.9998354315468407
fig3,0.9745079057760568,1.0033790752092098,0.9998375147078489
fig3,0.9757986447241046,1.0033790752092098,0.9998395714591554
fig3,0.9770893836721523,1.0033790752092098,0.9998416022497314
fig3,0.9783801226202,1.0033880871420027,0.999843607245601
fig3,0.9796708615682478,1.0033715011656028,0.9998455869056335
fig3,0.9809616005162956,0.999471608014118,0.9998475415026045
fig3,0.9822523394643433,0.999471608014118,0.9998494713843589
fig3,0.9835430784123911,0.999471608014118,0.9998513768123624
fig3,0.9848338173604388,0.999471608014118,0.9998532581315318
fig5,0.030977734753146177,0.24664349062635055,0.23130524780456524
fig5,0.03355921264924169,0.27790884254408343,0.28585268070521686
fig5,0.0361406905453372,0.3319422498470427,0.3381014532809091
fig5,0.03872216844143272,0.3771892396343369,0.38515617958544524
fig5,0.041303646337528234,0.4004426734089922,0.42503074938323154
fig5,0.04388512423362375,0.4445299272719553,0.4569609435619053
fig5,0.046466602129719266,0.45651665360810134,0.4814788543202872
fig5,0.04904808002581478,0.4900216733177377,0.4999867490725335
fig5,0.05162955792191029,0.5234579757737228,0.5140228743522517
fig5,0.05421103581800581,0.5277580877923482,0.5248660477905092
fig5,0.05679251371410132,0.53133267427218,0.5334700809039498
fig5,0.05937399161019684,0.540437456131924,0.5405149103636557
fig5,0.061955469506292354,0.5483429146421641,0.5464757295193212
fig5,0.06453694740238787,0.5515304313385541,0.551681693372328
fig5,0.06711842529848339,0.5561968961716262,0.5563598810197202
fig5,0.0696999031945789,0.5615219961980031,0.5606666714579567
fig5,0.0722813810906744,0.5687650515805647,0.5647096795774769
fig5,0.07486285898676992,0.5723893244820286,0.5685629510579646
fig5,0.07744433688286544,0.5759696803964195,0.5722774432430757
fig5,0.08002581477896095,0.5794919949800943,0.5758882403105365
fig5,0.08260729267505647,0.5833714281645411,0.5794195155622723
fig5,0.08518877057115198,0.5865785194896203,0.582887943096783
fig5,0.0877702484672475,0.5897564230897565,0.5863050427105634
fig5,0.09035172636334302,0.5965073055553456,0.589678791505321
fig5,0.09293320425943853,0.6016836777664827,0.5930147316050953
fig5,0.09551468215553405,0.6050130065083048,0.5963167311939392
fig5,0.09809616005162956,0.6070191916345762,0.599587507853362
fig5,0.10067763794772508,0.6101838756239333,0.602828987869855
fig5,0.10325911584382058,0.6130391130668831,0.6060425533930551
fig5,0.1058405937399161,0.6161743206252408,0.6092292122890348
fig5,0.10842207163601161,0.6193403500224981,0.6123897146857715
fig5,0.11100354953210713,0.6224902470386957,0.6155246332779785
fig5,0.11358502742820265,0.6256390590186758,0.6186344184532551
fig5,0.11616650532429816,0.6287587177973135,0.6217194361189148
fig5,0.11874798322039368,0.6315700412800034,0.6247799936429117
fig5,0.12132946111648919,0.6339163309308922,0.6278163579960989
fig5,0.12391093901258471,0.6335548797905334,0.6308287678306183
fig5,0.1264924169086802,0.6355166458193395,0.6338174420122515
fig5,0.12907389480477574,0.6398294766638815,0.6367825854584008
fig5,0.13165537270087124,0.6426098668231536,0.639724393029274
fig5,0.13423685059696677,0.6453671139261605,0.642643052452603
fig5,0.13681832849306227,0.6481854254795141,0.645538746088635
fig5,0.1393998063891578,0.6508909551986475,0.6484116521843875
fig5,0.1419812842852533,0.6540462897959638,0.6512619458915379
fig5,0.1445627621813488,0.656818364881192,0.6540897999888249
fig5,0.14714424007744434,0.659564062311315,0.6568953848083596
fig5,0.14972571797353984,0.6623125996307424,0.6596788692415525
fig5,0.15230719586963537,0.6650818052663506,0.6624404203608695
fig5,0.15488867376573087,0.6724097291681204,0.6651802038729389
fig5,0.1574701516618264,0.6753253692322603,0.6678983841068857
fig5,0.1600516295579219,0.6769345738017489,0.6705951240991572
fig5,0.16263310745401743,0.6796343832074581,0.6732705856935016
fig5,0.16521458535011294,0.6820805132073957,0.6759249295304128
fig5,0.16779606324620847,0.6848172050639123,0.6785583151033124
fig5,0.17037754114230397,0.6875191940329439,0.6811709006758717
fig5,0.1729590190383995,0.6899529071907848,0.683762843434705
fig5,0.175540496934495,0.6926701445319396,0.6863342995172399
fig5,0.1781219748305905,0.6950439790910666,0.6888854238302534
fig5,0.18070345272668603,0.6974399472030357,0.6914163702928552
fig5,0.18328493062278153,0.6998107861199563,0.693927291685893
fig5,0.18586640851887706,0.7022353588734918,0.6964183397844033
fig5,0.18844788641497257,0.7025373246236168,0.6988896651678532
fig5,0.1910293643110681,0.7026002923733545,0.7013414174975067
fig5,0.1936108422071636,0.706073326371969,0.7037737452251318
fig5,0.19619232010325913,0.7084704830053667,0.7061867958087622
fig5,0.20135527589545016,0.7131802242170135,0.7109556505655099
fig5,0.20393675379154566,0.715537894012132,0.7133117443744023
fig5,0.20651823168764116,0.717893505221127,0.7156491407857997
fig5,0.2090997095837367,0.7199195535116494,0.7179679819748122
fig5,0.2116811874798322,0.7222804683727349,0.7202684094062015
fig5,0.21426266537592772,0.7243083101915093,0.722550563279103
fig5,0.21684414327202323,0.7266388885075303,0.7248145828660548
fig5,0.21942562116811876,0.7289776559255468,0.7270606067158976
fig5,0.22200709906421426,0.7342151424936072,0.7292887720096939
fig5,0.2245885769603098,0.7381306247771243,0.7314992152004725
fig5,0.2271700548564053,0.739992557661437,0.7336920716156068
fig5,0.22975153275250082,0.7412436046029652,0.7358674757266686
fig5,0.23233301064859632,0.7435743232558304,0.7380255611107861
fig5,0.23491448854469182,0.7458683681031468,0.7401664601079634
fig5,0.23749596644078735,0.7475705259922047,0.7422903043651372
fig5,0.24007744433688286,0.7498650617147107,0.7443972244940216
fig5,0.24265892223297839,0.7521775806581525,0.7464873501733736
fig5,0.2452404001290739,0.753857422375201,0.7485608102551295
fig5,0.24782187802516942,0.7561474837448209,0.7506177324434167
fig5,0.25040335592126495,0.7578377870075355,0.7526582437067131
fig5,0.2529848338173604,0.7600934713885055,0.7546824700558482
fig5,0.25556631171345595,0.7617979589742003,0.7566905365342317
fig5,0.2581477896095515,0.7636537940294648,0.7586825673577776
fig5,0.26072926750564696,0.7618059862297746,0.7606586859560447
fig5,0.2633107454017425,0.7635120263738957,0.7626190144075458
fig5,0.265892223297838,0.7660423855253616,0.7645636745226185
fig5,0.26847370119393354,0.7680507606460159,0.7664927868670597
fig5,0.271055179090029,0.7699515220645897,0.7684064711738583
fig5,0.27363665698612455,0.7716386083460925,0.7703048463820221
fig5,0.2762181348822201,0.7735717077439871,0.7721880304006727
fig5,0.2787996127783156,0.77550211926644,0.774056140602728
fig5,0.2813810906744111,0.7771801211181721,0.7759092932041005
fig5,0.2839625685705066,0.7790816861807042,0.7777476037235627
