tau_q_or_tag,t_hat,T_or_spread_B1,T_or_spread_B105
0.03,0.533671679197995,0.9873998163004905,0.9864254297276722
0.03,0.5361654135338345,0.987706148749969,0.9867487796264004
0.03,0.5386591478696742,0.9880050337165038,0.9870644277370043
0.03,0.5411528822055137,0.988296652297853,0.9873725574985659
0.03,0.5436466165413534,0.9885811811278127,0.9876733479474855
0.03,0.5461403508771929,0.9888587925795189,0.9879669738645307
0.03,0.5486340852130326,0.989129654819471,0.9882536058820162
0.03,0.5511278195488721,0.9893939319246017,0.9885334105402777
0.03,0.5536215538847118,0.989651784017388,0.9888065504773198
0.03,0.5561152882205513,0.9899033672665141,0.9890731843777969
0.03,0.5586090225563909,0.9901488341062162,0.9893334672219953
0.03,0.5611027568922305,0.9903883332113335,0.9895875502400799
0.03,0.5635964912280701,0.9906220096959346,0.989835581122655
0.03,0.5660902255639098,0.9908500050844066,0.9900777039758754
0.03,0.5685839598997493,0.9910724575208245,0.9903140595431847
0.03,0.571077694235589,0.9912895017534036,0.9905447851832738
0.03,0.5735714285714285,0.9915012692441962,0.990770014940186
0.03,0.5760651629072682,0.9917078883169121,0.990989879768644
0.03,0.5785588972431077,0.9919094841190774,0.9912045074295387
0.03,0.5810526315789474,0.9921061787768319,0.9914140226515387
0.03,0.5835463659147869,0.9922980914375725,0.9916185472007657
0.03,0.5860401002506265,0.9924853383711192,0.9918181999596061
0.03,0.5885338345864661,0.9926680329982405,0.9920130969537018
0.03,0.5910275689223057,0.9928462860062122,0.992203351460786
0.03,0.5935213032581453,0.9930202053708816,0.9923890740611916
0.03,0.5960150375939849,0.9931898964690111,0.9925703727238864
0.03,0.5985087719298245,0.9933554620449976,0.9927473527561999
0.03,0.6010025062656641,0.9935170024637981,0.992920117091282
0.03,0.6034962406015038,0.993674615518795,0.9930887660817267
0.03,0.6059899749373433,0.9938283967684816,0.9932533978201471
0.03,0.608483709273183,0.9939784392865053,0.9934141079233039
0.03,0.6109774436090225,0.9941248340141982,0.9935709898356908
0.03,0.6134711779448622,0.994267669639679,0.9937241347533486
0.03,0.6159649122807017,0.994407032691117,0.9938736316880834
0.03,0.6184586466165413,0.9945430075608258,0.9940195674913701
0.03,0.6209523809523809,0.9946756766460332,0.9941620270346248
0.03,0.6234461152882205,0.9948051203235655,0.994301093113706
0.03,0.6259398496240601,0.9949314170015126,0.9944368465333601
0.03,0.6284335839598997,0.9950546431842764,0.9945693662375283
0.03,0.6309273182957393,0.9951748734983322,0.9946987291967614
0.03,0.6334210526315789,0.9952921808223163,0.9948250106690275
0.03,0.6359147869674185,0.9954066362044179,0.9949482840240738
0.03,0.6384085213032581,0.9955183089650752,0.9950686209098568
0.03,0.6409022556390978,0.9956272667572797,0.9951860912668752
0.03,0.6433959899749373,0.9957335755984531,0.9953007634082925
0.03,0.6458897243107768,0.9958372998947765,0.9954127039633245
0.03,0.6483834586466165,0.9959385024671639,0.9955219780086952
0.03,0.650877192982456,0.9960372446203196,0.9956286490523343
0.03,0.6533709273182957,0.996133586183372,0.995732779101768
0.03,0.6558646616541353,0.9962275855034886,0.9958344286842765
0.03,0.6583583959899749,0.9963192995351431,0.9959336568778119
0.03,0.6608521303258145,0.9964087838462166,0.9960305213867189
0.03,0.6633458646616541,0.9964960926421662,0.9961250784979911
0.03,0.6658395989974937,0.9965812788077336,0.9962173831718997
0.03,0.6683333333333333,0.996664393938907,0.9963074890640921
0.03,0.6708270676691729,0.9967454883825806,0.9963954485402243
0.03,0.6733208020050124,0.996824611316742,0.9964813127774825
0.03,0.6758145363408521,0.9969018105908989,0.9965651316101409
0.03,0.6783082706766916,0.9969771330336821,0.9966469538074836
0.03,0.6808020050125313,0.9970506242672446,0.996726826934886
0.03,0.6832957393483708,0.9971223287824666,0.9968047974008183
0.03,0.6857894736842105,0.9971922900236309,0.9968809105245351
0.03,0.68828320802005,0.9972605504194993,0.9969552105930866
0.03,0.6907769423558897,0.9973271512674154,0.9970277407354189
